Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.05,1,93.55,92.39,84.36,63.99,100.00
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,85.36,2,85.80,96.18,80.32,56.19,90.85
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,84.40,3,89.12,95.30,76.47,48.17,89.61
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,79.41,4,73.14,88.20,84.12,57.79,84.14
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.57,5,79.07,81.79,82.56,46.61,81.35
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,74.57,6,75.05,75.90,89.84,58.65,54.61
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,70.87,7,82.55,63.60,78.45,58.86,54.49
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,63.92,8,78.91,49.18,71.71,56.21,55.38
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,63.12,9,63.17,64.13,63.24,52.66,70.13
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,61.62,10,68.36,46.64,72.76,62.20,63.54
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,59.80,11,68.61,45.63,77.36,53.16,47.42
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,59.73,12,67.76,57.30,76.32,49.68,19.77
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,59.35,13,75.66,49.17,70.18,57.30,21.29
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,59.09,14,53.40,65.71,74.79,37.83,46.20
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,58.18,15,63.62,59.12,70.03,38.12,35.31
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,57.75,16,59.99,56.05,75.71,46.34,31.60
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,56.80,17,77.50,37.78,65.03,57.30,34.78
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,56.46,18,54.65,57.34,63.57,56.69,44.81
