Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR17-ENGG-1-1-77,Indian Institute of Technology Madras,Chennai,Tamil Nadu,87.96,1,91.85,92.60,83.78,77.19,81.46
IR17-ENGG-2-18633,Indian Institute of Technology Bombay,Mumbai,Maharashtra,87.87,2,91.15,94.68,83.64,69.70,84.24
IR17-ENGG-2-18630,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,81.93,3,76.03,89.23,88.02,74.11,73.43
IR17-ENGG-2-1-79,Indian Institute of Technology Delhi,New Delhi ,Delhi,81.08,4,79.63,89.47,77.45,71.41,77.24
IR17-ENGG-2-18248,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,76.83,5,84.28,77.28,74.29,61.35,73.59
IR17-ENGG-2-18677,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,73.10,6,72.30,74.36,88.31,70.95,43.47
IR17-ENGG-2-1-251,Indian Institute of Technology Guwahati,Guwahati,Assam,72.30,7,89.29,59.98,77.08,80.11,40.95
IR17-ENGG-2-18292,Anna University,Chennai,Tamil Nadu,63.97,8,63.62,67.63,67.99,59.71,50.21
IR17-ENGG-2-10326,Jadavpur University,Kolkata,West Bengal,62.59,9,59.42,71.38,74.96,49.76,33.82
IR17-ENGG-2-1-345,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,60.24,10,82.60,36.21,71.26,73.75,29.72
IR17-ENGG-1-1-370,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,59.44,11,62.00,46.27,74.38,75.81,45.04
IR17-ENGG-2-1-140,National Institute of Technology Rourkela,Rourkela,Odisha,58.78,12,64.21,49.22,80.12,68.07,19.23
IR17-ENGG-2-18572,Vellore Institute of Technology,Vellore,Tamil Nadu,58.16,13,56.49,54.02,64.91,75.56,44.60
IR17-ENGG-2-18261,Institute of Chemical Technology,Mumbai,Maharashtra,57.97,14,70.35,47.58,74.25,59.54,17.80
IR17-ENGG-2-1-346,Indian Institute of Technology Indore,Indore,Madhya Pradesh,57.70,15,83.73,32.72,70.72,75.64,10.64
IR17-ENGG-2-18599,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,55.43,16,66.15,35.05,70.27,59.86,50.32
