Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.93,1,95.42,94.64,83.90,61.31,100.00
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,88.08,2,90.79,96.15,80.36,64.81,94.46
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.08,3,91.00,93.37,77.60,49.99,92.51
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.18,4,86.22,82.08,88.44,54.21,85.78
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.56,5,77.32,87.11,83.21,56.62,89.31
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.29,6,77.21,76.57,89.65,61.71,60.55
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,74.90,7,83.04,70.73,83.03,59.13,62.45
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,66.44,8,82.51,52.47,71.54,55.98,60.42
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,64.10,9,72.11,50.04,74.71,61.49,63.68
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.88,10,79.89,53.31,72.09,57.76,27.15
IR-E-U-0701,Indian Institute of Technology (BHU) Varanasi,Varanasi,Uttar Pradesh,62.54,11,72.34,47.77,77.77,56.07,53.49
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,62.06,12,64.02,63.12,72.11,55.07,39.78
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,61.30,13,68.93,46.03,78.67,55.24,55.59
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,59.89,14,64.62,54.07,61.50,51.62,68.24
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,59.32,15,56.79,64.06,63.07,58.21,46.29
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,59.29,16,64.38,57.82,74.30,47.23,30.48
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,59.23,17,53.73,62.04,76.45,40.45,51.61
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,58.70,18,68.13,54.04,74.66,45.17,25.98
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,57.76,19,73.38,38.12,74.21,57.81,36.91
IR-E-U-0436,Amrita School of Engineering,Amritapuri,Kerala,57.37,20,65.77,56.76,59.00,60.07,28.01
IR-E-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,57.14,21,69.57,47.62,63.17,47.92,45.56
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,56.80,22,77.05,37.17,64.77,56.27,39.56
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,56.56,23,71.05,31.30,78.29,63.87,38.04
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,56.15,24,83.76,34.55,55.15,57.90,38.26
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,55.95,25,79.11,30.54,70.31,59.24,30.75
IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,55.74,26,78.20,39.24,62.28,51.86,28.57
IR-E-U-0334,Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,54.76,27,67.70,45.19,69.73,53.77,15.56
IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,54.58,28,63.16,48.11,71.43,58.00,11.13
IR-E-I-1480,Thapar Institute of Engineering & Technology,Patiala,Punjab,54.45,29,65.95,47.65,65.69,54.82,17.42
IR-E-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan,54.39,30,61.95,34.87,77.36,56.26,42.47
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,54.17,31,70.38,36.80,67.11,64.70,21.26
IR-E-U-0497,Amity University Noida,Gautam Budh Nagar,Uttar Pradesh,53.09,32,71.22,50.11,51.01,56.94,8.05
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,53.01,33,78.65,24.02,62.88,62.97,33.32
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,52.38,34,74.73,29.41,68.18,64.26,10.70
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,52.25,35,71.41,41.69,59.89,54.40,8.95
IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,51.99,36,63.36,31.12,73.21,53.07,36.91
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,51.79,37,73.13,33.81,64.89,56.60,10.70
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,51.42,38,70.07,34.81,58.75,51.57,30.48
IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,51.39,39,70.58,45.83,56.57,40.89,10.70
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,51.19,40,63.85,41.64,61.65,54.75,17.42
IR-E-U-0473,S. R. M. Institute of Science and Technology,Chennai,Tamil Nadu,50.95,41,61.27,41.96,63.57,61.06,11.55
IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50.07,42,66.08,25.80,65.80,75.70,17.79
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,49.45,43,53.01,36.66,73.92,52.91,24.77
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,49.26,44,66.01,31.10,63.81,53.47,20.25
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,49.06,45,70.32,24.86,54.60,62.23,33.57
