Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.19,1,95.47,96.43,81.92,62.44,100.00
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,88.96,2,91.76,95.82,80.97,66.39,98.63
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.16,3,89.32,92.56,79.71,53.68,92.88
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,83.22,4,86.71,83.13,89.79,55.96,87.05
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,82.03,5,80.51,88.59,83.01,58.46,88.50
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,78.08,6,79.28,78.13,90.74,63.36,63.59
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,73.84,7,79.25,70.32,84.63,59.83,60.58
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.69,8,82.60,56.90,72.54,56.58,66.70
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.08,9,70.00,54.63,78.13,61.35,69.32
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,64.19,10,73.15,50.17,78.62,64.54,50.18
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,64.07,11,69.29,65.53,73.12,54.62,35.36
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,63.68,12,61.41,69.70,67.01,59.84,49.73
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.56,13,76.22,55.89,71.57,55.76,30.29
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,62.10,14,67.40,51.62,79.07,55.80,49.96
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,60.31,15,75.45,54.62,72.56,45.67,21.98
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.67,16,69.63,59.01,59.56,56.68,35.04
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,59.19,17,54.82,60.61,76.88,43.00,48.82
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,58.31,18,66.29,50.06,58.60,50.87,65.95
